position_id,ticker,asset_class,quantity,price,market_value,trade_date
POS-00000,MSFT,equity,389,247.5,96275.67,2026-04-23
POS-00001,META,equity,430,363.82,156440.71,2026-04-23
POS-00002,AMZN,equity,56,489.03,27385.68,2026-04-23
POS-00003,V,equity,382,403.73,154224.45,2026-04-23
POS-00004,JPM,equity,72,252.67,18192.5,2026-04-23
POS-00005,JPM,equity,191,467.04,89205.45,2026-04-23
POS-00006,V,equity,325,420.24,136578.89,2026-04-23
POS-00007,XOM,equity,227,152.26,34562.44,2026-04-23
POS-00008,MSFT,equity,281,78.72,22119.69,2026-04-23
POS-00009,PG,equity,415,334.25,138713.33,2026-04-23
POS-00010,GOOGL,equity,381,209.54,79833.48,2026-04-23
POS-00011,MSFT,equity,485,451.9,219173.68,2026-04-23
POS-00012,JNJ,equity,391,137.59,53796.68,2026-04-23
POS-00013,TSLA,equity,238,69.71,16591.38,2026-04-23
POS-00014,XOM,equity,85,357.37,30376.62,2026-04-23
POS-00015,DIS,equity,374,485.38,181531.89,2026-04-23
POS-00016,META,equity,169,216.71,36623.46,2026-04-23
POS-00017,MSFT,equity,240,135.26,32462.91,2026-04-23
POS-00018,META,equity,73,264.07,19276.91,2026-04-23
POS-00019,NVDA,equity,121,351.42,42521.37,2026-04-23
POS-00020,NFLX,equity,224,424.71,95133.96,2026-04-23
POS-00021,WMT,equity,353,190.56,67269.44,2026-04-23
POS-00022,V,equity,417,412.14,171864.03,2026-04-23
POS-00023,PG,equity,199,179.75,35769.78,2026-04-23
POS-00024,AMZN,equity,344,112.89,38833.68,2026-04-23
POS-00025,PG,equity,107,53.31,5704.49,2026-04-23
POS-00026,V,equity,395,349.18,137927.24,2026-04-23
POS-00027,JPM,equity,355,401.33,142471.46,2026-04-23
POS-00028,XOM,equity,234,305.93,71588.45,2026-04-23
POS-00029,AAPL,equity,78,101.54,7920.01,2026-04-23
POS-00030,META,equity,337,261.99,88291.74,2026-04-23
POS-00031,PG,equity,286,394.25,112755.35,2026-04-23
POS-00032,XOM,equity,321,299.11,96014.54,2026-04-23
POS-00033,MSFT,equity,284,186.78,53044.82,2026-04-23
POS-00034,WMT,equity,25,246.52,6163.07,2026-04-23
POS-00035,NFLX,equity,115,233.84,26891.36,2026-04-23
POS-00036,NFLX,equity,428,155.27,66456.74,2026-04-23
POS-00037,PG,equity,38,176.62,6711.66,2026-04-23
POS-00038,DIS,equity,153,347.86,53222.95,2026-04-23
POS-00039,MSFT,equity,282,402.75,113576.68,2026-04-23
POS-00040,NFLX,equity,335,232.87,78012.82,2026-04-23
POS-00041,META,equity,408,125.14,51056.23,2026-04-23
POS-00042,TSLA,equity,21,90.52,1900.95,2026-04-23
POS-00043,V,equity,363,257.84,93597.65,2026-04-23
POS-00044,JNJ,equity,89,275.47,24516.84,2026-04-23
POS-00045,NFLX,equity,84,363.34,30520.91,2026-04-23
POS-00046,JPM,equity,228,221.46,50492.78,2026-04-23
POS-00047,AMZN,equity,157,333.63,52379.47,2026-04-23
POS-00048,WMT,equity,187,89.44,16725.74,2026-04-23
POS-00049,TSLA,equity,67,482.85,32351.21,2026-04-23
